ASV	S1	S10	S100	S101	S102	S103	S104	S105	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S12	S120	S121	S122	S123	S124	S125	S126	S127	S128	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S63	S64	S66	S67	S68	S69	S7	S70	S71	S72	S73	S74	S75	S76	S78	S79	S8	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S91	S92	S93	S94	S95	S97	S98	S99
ASV_789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	8	0	1	0	2	5	0	0	2	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	3	0	3	0	0	0	0	0	0	0	0	0	9	0	0	0	6	2	1	1	77	0	2	29	212	0	0	59	7	3	0	0	0	6	16	0	1	0	4	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	1	0	0
ASV_790	8	0	0	5	1	0	7	0	1	6	2	2	0	1	0	2	0	9	0	0	0	0	0	16	0	11	1	0	7	0	0	0	12	0	0	0	0	10	0	0	13	10	7	26	0	10	3	0	7	0	2	0	0	0	0	0	2	3	5	4	0	88	57	2	22	0	0	12	0	16	0	0	16	1	0	1	5	0	0	3	0	0	0	2	1	0	0	0	2	0	0	0	0	0	7	0	0	0	5	0	0	3	8	0	0	7	8	0	0	10	0	0	0	0	0	2	0	0	3	5	0
ASV_791	0	8	3	46	0	0	140	0	44	0	3	1	4	0	0	0	0	0	0	0	0	0	0	41	0	9	92	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	33	0	0	0	0	0	0	2	0	0	0	0	12	1	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_793	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	24	15	14	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	18	9	23	0	26	0	4	6	1	45	0	6	34	5	0	75	6	53	5	0	18	1	1	27	0	0	14	5	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0
ASV_794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ASV_795	0	1	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	6	0	0	0	0	2	11	0	0	0	0	0	0	3	0	0	0	3	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	6	0	0	2	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	2	0
ASV_796	3	1	0	0	2	0	0	1	2	0	9	7	15	9	0	2	0	0	1	0	0	5	0	2	0	6	2	30	8	95	9	0	4	0	4	12	0	14	0	0	4	12	0	17	0	2	0	28	9	4	6	8	7	0	0	0	3	0	3	6	0	1	0	0	0	1	0	3	0	0	9	0	0	14	0	0	2	2	2	22	0	0	0	2	0	0	0	0	2	1	0	0	0	0	2	0	0	2	0	0	4	0	4	0	3	5	6	0	10	1	0	0	1	0	0	10	0	13	2	2	0
ASV_797	0	0	0	0	0	0	4	0	1	1	0	0	0	3	3	3	0	5	0	2	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	4	409	0	0	0
ASV_798	9	1	7	1	0	1	0	20	0	14	9	5	5	4	7	0	0	0	0	0	0	5	0	3	0	0	0	1	0	10	3	16	1	3	5	13	4	1	6	2	17	0	0	51	0	2	0	28	2	6	0	2	1	1	4	0	18	0	0	15	3	9	1	1	0	4	0	0	0	7	26	0	0	4	1	0	0	3	0	0	0	1	7	0	0	0	0	0	1	11	2	0	0	0	4	0	0	0	0	0	10	1	3	0	0	2	11	0	0	0	33	7	0	0	0	10	0	1	4	2	0
ASV_799	0	0	4	0	1	0	0	3	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	26	0	196	22	77	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	34	0	0	0	5	9	0	13	2	0	0
ASV_800	5	5	4	4	10	0	4	3	0	3	15	5	8	25	0	0	0	1	0	0	5	1	0	0	0	0	0	0	3	0	0	6	0	0	5	1	0	0	0	2	0	0	0	4	2	5	0	10	0	3	9	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	3	115	0	1	4	2	0	1	2	0	0	8	6	6	0	0	5	0	0	19	2	6	0	0	3	7	0	0	0	2	1	43	6	2	2	0	0	2	0	4	0	7	7	0	0	0	26	0	16	3	0	0
ASV_801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	9	78	0	11	193	0	0	38	72	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_802	0	0	12	0	2	5	5	0	2	4	0	0	0	0	1	0	107	3	0	0	0	25	0	2	0	23	1	0	0	0	2	3	0	0	11	6	0	22	2	0	2	8	0	1	0	0	0	4	0	3	15	0	2	3	0	6	1	0	1	8	0	4	23	0	10	0	0	1	7	18	1	0	0	5	0	1	0	2	0	20	0	2	5	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	8	0	9	10	3	0	0	7	5	0	3	1	0	0	0	13	0	3	0	2	0	12	0
ASV_803	0	0	0	0	9	14	0	0	0	0	0	4	0	0	0	0	0	0	0	306	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	14	16	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	1	0	4	0
ASV_804	0	44	0	0	0	4	1	0	0	4	0	0	0	0	1	1	12	0	0	0	0	37	0	8	2	1	0	0	0	0	0	2	0	0	1	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	1	1	0	0	0	4	0	0	1	0	0	0	1	0	0	1	0	3	0	0	0	8	0	33	0	30	3	0	3	2	1	0	0	0	0	2	0	78	1	0	0	13	4	1	9	6	2	3	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	3	0	0	0
ASV_805	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	26	2	24	0	7	0	0	3	0	0	0	0	0	0	0	3	0	4	2	0	61	4	5	0	0	13	0	0	0	0	0	0	16	6	4	24	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ASV_806	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_807	0	0	4	6	2	0	17	2	4	2	12	11	24	1	9	5	14	48	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	17	1	7	3	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	0	0	7	0	0	3	37	5	0	93	0	0	82	0	0	0	12	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2
ASV_808	6	6	10	28	0	0	26	21	2	18	2	0	0	0	10	0	0	4	1	0	0	0	0	0	0	8	2	5	2	13	0	0	0	0	1	0	0	3	1	0	0	2	2	0	0	4	0	2	0	3	5	2	0	0	0	0	0	2	2	17	0	0	0	0	0	5	9	3	4	0	3	0	0	0	0	0	0	0	0	3	11	0	3	0	10	0	0	0	18	0	12	0	0	0	4	0	0	0	2	0	49	0	0	0	0	0	0	0	0	0	3	0	0	0	0	11	1	104	0	6	0
ASV_810	0	3	0	0	32	136	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	13	23	24	17	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_811	0	2	41	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	15	0	0	0	0	0	3	0	0	9	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	2	3	9	0	5	4	13	0	0	0	2	0	9	0	1	0	0	0	0	0	0	0	12	10	0	2	11	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	232	0	0	0	0	0	0	0	0	4	1	0	0	0	8	0	0	0	0	5	5
ASV_812	0	0	59	19	2	0	79	0	0	0	0	0	0	0	4	0	0	36	2	23	0	0	0	0	1	2	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	4	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	2	0	0	0	5	9	0	0	0	3	0	0	3	0	0	0	8	0	0	0	0	57	0	0	5	5	0	0	0	0	55	0
ASV_814	0	2	5	0	8	0	0	4	0	4	9	2	28	13	3	0	0	2	0	0	0	19	0	0	0	0	0	0	0	0	0	6	14	0	2	0	0	0	0	0	18	20	0	3	0	7	0	3	0	2	4	0	0	0	0	0	92	1	28	0	72	1	3	8	0	0	0	6	0	7	8	0	1	10	0	0	4	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	19	0	0	2	0	0	0	0	0	0
ASV_816	0	3	0	14	29	176	3	0	4	0	0	0	4	0	4	6	0	0	0	0	0	0	0	11	0	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_818	34	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	5	0	0	0	1	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	33	3	0	0	0	0	0	0	0	0	61	0	0	0	6	0	0	6	0	0	0
ASV_819	0	0	0	0	11	0	9	8	1	6	59	28	57	20	10	0	0	3	20	7	4	6	1	21	0	16	5	4	3	0	0	0	0	4	0	0	0	5	0	0	2	0	0	2	2	0	0	34	0	0	0	0	10	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	8	6	0	3	15	0	0	5	3	0	0	0	0	0	0	0	0	0	0	1	3	2	2	0	2	0	1	0	0	0	0	4	2	1	0	0	0	3	0	0	2	1	4	0	0	0	13	0	7	3	0	0
ASV_820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_821	0	0	11	0	0	0	2	181	23	63	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7	3	9	0	1	17	8	0	13	0	0	0	0	0	2	0	0	4	1	0	0	8	0	1	0	0	0	0	0	0	0	0	19	0	10	0	14	0	1	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	5	5	4
ASV_823	0	1	0	0	0	322	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	43	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ASV_824	1	3	0	0	7	0	0	0	0	0	17	13	23	21	4	4	15	9	0	0	16	90	0	0	0	0	0	7	0	1	6	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	2	2	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	8	3	0	63	0	0	5	5	0	0	0	0	0	1	0	0	31	8	0	0	30	0	0	0	0	1	0
ASV_825	0	0	13	0	2	0	0	0	0	0	7	0	3	2	31	0	21	4	0	0	0	0	0	8	0	15	27	6	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	10	0	0	0	0	0	0	0	125	0	0	1	2	0	0	0	8	0	0	0	1	50	0	38	8	7	0
ASV_826	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	3	6	0	0	8	0	0	0	0	0	0	0	0	0	12	48	3	9	3	0	5	1	0	0	6	0	1	0	2	0	1	0	0	0	0	5	0	4	3	183	0	37	0	62	0	6	8	1	0	0	5	0	0	0	1	0	1	0	0	0	2	0	0	0	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0
ASV_827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	29	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_828	0	0	14	41	5	0	2	119	1	48	1	2	11	4	0	0	0	0	29	0	0	0	0	0	0	0	0	4	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	22	3	0
ASV_829	0	0	4	0	1	1	7	0	0	1	0	1	0	2	9	0	2	4	0	0	0	17	0	2	0	21	6	0	0	0	0	0	1	0	15	12	0	18	4	0	2	0	0	0	0	0	0	1	0	0	23	2	0	6	0	8	0	0	0	24	4	0	44	0	14	0	0	0	5	11	0	0	3	14	1	12	0	8	0	0	0	0	11	0	0	1	0	0	12	0	0	6	0	16	1	0	0	2	6	0	11	7	9	0	0	0	4	0	1	1	3	0	0	2	0	2	0	32	0	6	0
ASV_830	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	5	49	0	0	0	0	1	6	0	11	0	0	7	0	0	49	111	31	0	13	60	0	0	0	1	3	0	0	0	0	0	4	1	2	4	7	3	4	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ASV_831	4	0	0	2	13	0	2	0	0	7	10	13	45	16	14	0	0	1	24	0	9	32	2	1	4	2	2	21	0	0	2	1	0	5	0	2	0	6	0	0	9	1	0	5	0	3	0	6	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	3	19	0	2	2	0	0	0	0	0	0	3	0	2	3	0	0	0	0	0	2	2	9	0	0	2	3	1	3	2	0	30	2	2	0	0	0	3	0	0	0	58	2	0	2	2	4	0	5	0	0	0
ASV_832	4	0	0	0	3	0	6	4	0	0	28	16	54	20	26	0	29	10	35	0	7	2	5	0	0	1	1	6	1	0	5	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	5	0	1	0	2	0	0	0	4	0	0	0	2	0	0	0	0	0	1	0	0	2	22	12	0	1	20	2	2	0	0	0	4	2	1	0	0	0	0	0	0	0	8	0	0	0	5	0	1	0	3	0	0	17	0	1	0	0	5	1	0	0	0	13	4	0	0	1	26	0	3	0	0	0
ASV_833	0	0	0	0	0	0	0	1	0	1	0	0	0	0	70	15	27	70	0	0	0	1	0	10	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	2	0	0	3	0	2	0	0	0	58	14	0	11	0	7	0	0	2	13	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	16	24	0	62	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_834	0	147	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	2	0	4	5	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	2	11	218	0	0	0	0	0	0	0
ASV_835	14	2	1	3	11	0	9	5	2	7	45	17	27	33	1	2	1	3	24	3	1	10	8	4	0	20	0	2	2	2	4	4	0	0	0	0	0	0	4	0	1	5	1	0	0	1	1	6	2	0	0	0	6	0	1	5	0	1	0	7	0	0	0	2	0	0	0	0	0	10	4	0	2	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	3	6	1	0	13	1	3	4	6	0	0	0	0	1	0	0	0	24	5	0	0	3	15	1	12	1	0	0
ASV_836	4	1	0	1	0	0	1	5	2	3	7	0	16	3	11	0	0	1	4	0	12	2	2	26	2	1	17	4	2	0	5	25	0	0	18	0	0	2	0	0	26	5	12	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	7	9	0	6	17	0	0	16	0	0	0	0	0	2	0	0	0	0	0	0	2	18	0	0	0	9	0	0	20	0	0	3	0	2	0	0	0	0	0	0	0	30	0	0	0	7	3	0	0	2	0	0
ASV_837	4	0	0	4	2	0	0	4	0	7	1	0	0	0	4	0	0	0	3	0	0	18	0	19	0	0	31	0	0	0	0	5	0	0	0	21	0	2	4	0	7	4	0	27	0	0	0	23	0	0	0	1	0	5	0	4	51	0	2	12	6	4	0	0	0	10	0	0	0	0	32	0	0	13	0	0	2	3	0	0	0	0	3	0	3	1	0	0	1	6	3	0	0	0	1	0	0	0	0	0	10	0	3	0	0	0	15	0	8	2	4	6	0	0	0	9	0	11	9	1	2
ASV_838	0	0	0	0	0	0	0	4	90	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	42	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	69	5	37	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	110	0	2	0	15	0	0	4	0	1	0	0	0	0	0	5	0	4	24	0	0	0	0	0	0	0
ASV_839	0	14	0	0	1	0	2	0	0	0	4	1	1	3	0	1	0	0	0	8	0	30	0	0	0	1	0	6	0	21	0	0	0	17	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	87	0	0	0	0	0	0	2	0	0	16	0	0	0	1	0	0	0	0	0	12	9	0	0	12	8	0	67	0	1	41	0	0	0	0	0	4	1	6	0	4	16	2	7	0	0	0	0	0	0	3
ASV_840	0	57	0	0	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	25	0	3	0	11	0	0	0	0	0	0	0	0	3	1	0	2	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	1	0	1	0	0	2	0	0	21	2	32	0	0	4	0	0	0	0	0	0	0	0	44	0	2	0	10	0	0	27	0	3	3	0	0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0
ASV_841	0	11	1	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	23	0	5	2	46	0	0	0	0	0	0	0	0	5	9	0	9	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	9	0	1	0	0	0	0	4	0	0	1	9	0	29	0	29	0	77	11	1	3	0	0	1	0	2	3	0	0	11	0	1	0	2	0	0	1	0	2	1	4	0	61	0	5	0	0	1	2	4	0	26	0	0	0	4	0	1	1
ASV_842	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	2	144	94	29	130	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0
ASV_843	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	14	0	0	0	0	0	4	18
ASV_844	0	46	0	0	1	0	6	1	3	5	0	0	0	2	0	1	0	0	0	0	0	44	0	3	1	9	0	0	0	0	0	0	0	0	3	3	0	0	52	0	0	0	0	0	0	0	0	0	1	0	0	0	0	71	3	0	0	0	0	6	0	0	3	0	0	0	0	4	0	4	0	0	0	1	0	4	0	17	0	26	3	0	2	1	0	0	1	0	0	0	0	53	3	0	0	26	0	4	5	1	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	0
ASV_845	0	0	14	0	2	1	9	0	3	4	0	0	0	5	1	0	0	1	2	0	0	14	0	10	0	0	0	6	0	0	2	0	1	0	14	13	0	6	3	0	3	15	2	8	0	1	0	8	0	3	9	0	0	0	0	7	0	3	0	12	7	0	15	0	3	0	2	0	4	5	0	0	0	13	2	17	4	5	0	44	3	0	9	0	0	0	0	0	14	0	0	0	0	3	0	0	0	0	7	0	7	11	24	0	0	0	9	0	0	0	4	0	0	0	0	1	0	15	1	19	0
ASV_846	0	47	0	0	7	0	4	0	1	2	0	0	0	0	2	0	29	0	0	0	0	16	0	5	2	7	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	2	0	0	0	0	0	68	4	0	0	0	0	7	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	6	0	18	0	32	2	0	10	1	0	0	0	0	0	0	0	37	0	0	0	13	0	0	10	0	1	2	0	0	13	0	0	0	3	0	2	1	0	0	0	1	0	1	0	0	0
ASV_847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	9	0	9	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
