ASV	S1	S10	S100	S101	S102	S103	S104	S105	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S12	S120	S121	S122	S123	S124	S125	S126	S127	S128	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S63	S64	S66	S67	S68	S69	S7	S70	S71	S72	S73	S74	S75	S76	S78	S79	S8	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S91	S92	S93	S94	S95	S97	S98	S99
ASV_11	103	162	48	29	569	384	34	1	59	9	41	184	193	46	34	127	294	38	1	191	81	142	0	1	2	35	2	2	6	35	1	1172	59	906	1757	104	104	409	6392	4	3026	1468	421	19	312	1104	7	1538	16978	8257	7390	538	4	1	63	1	418	73	23	324	131	156	19	101	16	43	223	69	4	149	53	894	25	1227	11060	2762	144	126	75	844	3228	3	1427	3915	641	98	3	90	10	223	169	2381	1301	43	26	143	9	0	2775	620	150	65	286	6	4320	57	28	99	252	6	54	34	129	173	0	258	5769	2008	36	680	67
ASV_12	1153	26	4688	785	910	60	1567	2937	954	2271	2581	1155	514	1770	2974	613	2238	4996	29	217	77	99	7	5358	696	888	3070	291	169	183	200	672	687	24	402	1289	26	274	72	476	11	195	75	1000	51	102	452	1149	56	590	536	695	3138	139	78	3053	74	1321	112	753	180	6488	2673	384	3506	363	344	131	622	1692	307	74	546	174	160	397	117	325	24	445	100	63	510	42	58	110	2	8	1045	670	103	116	9	1377	851	142	4	918	413	44	219	101	3162	8	11	1555	101	62	15	150	201	71	11	298	47	3254	97	3556	2032	1874	208
ASV_13	853	179	530	216	952	248	482	3708	261	2822	803	1150	1180	1286	526	206	732	1060	664	214	512	1071	371	782	394	1564	774	296	264	201	273	394	2288	148	1075	1836	49	855	324	460	1466	1560	532	1648	216	1849	400	722	294	336	636	297	848	257	112	785	1114	945	1881	616	1942	328	2246	756	1098	314	1478	346	1110	3240	917	180	747	1864	474	362	909	378	245	1722	293	1139	1380	448	439	400	15	63	2357	1199	512	909	158	1460	2159	675	100	1223	123	377	776	5263	1344	1746	59	770	968	217	473	808	328	802	172	691	66	775	55	804	471	976	164
ASV_14	536	2437	1062	12	93	296	6	21	5235	34	127	67	194	248	508	24	333	146	0	136	6	316	1	316	463	1520	303	21	41	121	53	0	1173	61	0	4995	461	6987	261	3518	681	3128	526	588	175	787	756	437	93	83	798	288	565	431	16357	3249	1561	815	830	1265	2415	1027	1130	972	1582	72	80	267	94	1493	336	419	569	1821	146	1200	701	21	107	1352	159	7	1291	99	141	472	2	139	297	296	184	54	26	1347	398	198	672	23	118	87	467	8	135	0	546	67	1941	147	1129	1566	38	68	1052	3622	15	784	23	628	501	807	498
ASV_15	1570	56	620	340	225	10	294	430	314	316	705	235	1146	616	1406	19	157	720	1031	32	225	549	157	5275	85	444	2469	96	230	42	55	2481	583	317	1267	808	69	307	178	39	2666	635	653	5230	231	1378	650	3273	164	478	312	1175	2198	51	197	498	906	745	119	808	382	5017	907	544	904	4850	190	517	1911	3167	993	56	1064	2163	92	466	481	3985	99	465	122	863	3064	397	183	748	7	45	492	593	235	35	31	199	1062	39	19	552	39	114	352	525	1384	70	147	649	1096	81	149	802	278	1219	170	88	40	1626	11	880	878	288	138
ASV_16	53	1629	18	95	342	3504	55	40	688	61	22	27	765	45	235	157	18424	97	11	981	331	509	0	2160	1430	8315	1036	4	46	112	3	2	5	25	1	86	44	102	3848	5	5	23	3	25	8	19	0	0	7871	0	1	0	8	4	135	2	65	22	4	58	15	36	10	150	6	1079	313	3428	84	162	1	4478	13	35	362	644	9	225	251	992	16	4	18	12	20	0	94	1544	86	117	34	4344	2033	13	1192	844	515	20	1346	2806	0	105	372	65	9927	23	90	61	1956	3	36	155	216	431	5	94	531	1066	49	276	185
ASV_17	269	8	829	1760	2063	34	2936	3	269	12	4592	2997	4891	4157	68	187	117	164	2799	24	1743	1053	1358	1488	836	1289	942	40	89	63	50	482	107	28	789	31	3	762	192	6	3403	1628	1209	559	88	3402	320	259	80	138	590	91	2671	96	602	3222	8	281	5	311	13	10	293	11	95	603	486	133	2309	80	48	32	60	172	37	2	85	4478	27	587	82	847	498	75	157	304	0	1	1360	105	38	291	18	184	538	579	36	2702	17	167	53	2020	1829	64	99	988	1704	53	700	1518	2871	251	129	455	714	2443	49	2359	163	308	154
ASV_18	2032	127	507	413	304	61	670	841	205	786	659	287	1228	695	3123	255	2017	2395	2855	232	1030	1233	729	947	791	681	1044	3543	962	2657	1869	757	251	180	1049	1029	64	403	275	85	786	734	266	1572	120	528	177	814	734	146	398	297	235	193	387	199	318	285	60	3807	120	1517	356	49	257	939	682	226	821	1999	960	83	808	1076	86	1240	195	1739	142	825	329	534	2654	136	131	479	7	19	1203	1029	736	68	63	695	1054	39	33	17	141	77	782	610	1548	52	219	785	383	31	86	152	132	481	13	77	65	1235	17	1308	440	526	66
ASV_19	399	43	19	27	529	17	25	807	143	956	393	695	650	817	364	138	164	671	96	51	44	2301	13	432	114	443	347	145	203	116	233	587	1343	84	1128	82	2	1232	256	17	7280	5761	2260	864	299	5650	652	3877	102	1856	2662	2651	2364	123	509	3276	228	745	196	473	592	161	2569	234	1969	461	59	254	654	16	17	29	7	1625	297	150	1384	39	68	2329	170	17	95	104	167	24	4	6	185	949	34	44	1	1584	13	25	13	16	56	54	45	33	70	3	44	68	2442	69	709	3434	2	558	149	580	3	96	5	82	1	41	1
ASV_20	139	6	9	11	5787	35	14	4966	64	2518	4260	6263	4500	8672	1091	601	894	1150	6533	92	5730	38	2324	1077	3576	1716	1291	873	567	389	660	0	2	7	0	483	16	230	103	183	55	216	54	0	0	163	0	19	29	16	49	14	235	49	5	231	2	2	0	152	0	1	0	13	0	6	50	1	6	67	27	55	41	84	17	55	54	5	16	150	152	4	0	1	35	0	4	13	13	2922	32	455	29	3272	34	400	145	137	7	193	31	27	144	24	92	39	9	23	4	3	527	13	3	296	158	1453	65	2369	0	21	2
ASV_21	0	45	3	0	1196	56	1	18	79	5	145	1477	406	85	5	555	1898	11	16	2828	366	6	1	4	237	686	356	0	54	843	0	3	13	4	3	6	38	75	411	2	9	215	0	0	16	21	0	0	69	124	162	5	0	1019	93	3	0	137	4	1	2	2	11	16	2	150	102	135	45	4	5	156	0	10	1342	1114	0	4	4	404	127	4	108	3988	4889	30	1267	332	220	1	7	4982	193	2	204	26747	390	859	501	878	1	20	12	40	1370	8	5	51	536	5	11	0	55	506	4	218	1758	324	0	73	84
ASV_22	0	19	0	0	17	3410	1	0	784	1	0	10	121	0	0	58	547	0	0	1013	4366	0	0	0	118	1941	12	3	16	2554	0	0	3	16	1	0	2	15	26	0	0	1026	0	0	6	0	0	0	913	75	979	0	0	3	452	1	0	0	0	0	0	0	3	177	0	0	7	549	0	0	1	254	0	1	9	1664	0	0	7	4497	0	0	0	11	816	0	9	7132	0	1	3	42	181	0	0	112	108	1	30	206	0	0	0	0	2890	0	0	2	2638	0	1	1	21	2648	0	4	33	4111	0	37	452
ASV_23	370	16	549	114	418	159	195	665	155	606	576	444	1206	669	157	37	176	228	240	47	134	32	74	168	105	1122	1015	8	120	36	21	318	459	2	310	1983	66	818	310	383	696	1452	398	834	199	1792	578	1605	94	853	1462	944	431	320	65	392	263	383	395	515	274	29	1234	273	369	55	568	90	105	832	88	143	377	9475	1755	278	4346	234	430	6272	62	446	479	554	522	250	8	8	756	412	51	1484	11	401	687	36	34	0	168	749	83	3351	1016	775	309	599	378	77	177	301	184	3	79	520	73	217	22	288	498	1020	253
ASV_24	8	319	46	0	3998	282	10	2	20	0	88	5251	337	76	43	714	108	47	7	1630	104	11	1	447	727	448	59	23	191	104	22	27	5	13	39	166	1115	967	113	21	655	4014	126	2	717	222	6	3	212	171	248	0	29	2506	30	10	2	0	0	5	1	1	16	47	0	0	588	3	0	0	1	48	0	1	26	3	0	160	62	101	19	23	39	218	131	2	10583	8806	280	2	8	10157	238	4	249	1167	26	14	2515	747	0	16	27	0	34	11	45	452	41	24	9	2	279	156	2	58	3446	308	68	3330	13
ASV_25	1	16	408	642	667	135	1606	1159	641	583	1236	808	1242	704	202	109	158	604	1395	19	849	0	309	2068	429	1023	2231	1028	824	195	796	72	508	0	52	48	0	180	99	10	379	191	120	534	21	316	82	1592	0	751	518	736	2842	139	240	943	896	441	643	1	769	1261	1049	178	704	1026	627	164	625	571	398	35	278	215	74	138	115	914	37	290	15	130	3	9	46	5	1	21	956	117	42	83	39	140	1261	4	15	2	47	29	260	553	2632	123	140	1631	1722	193	308	1638	573	0	280	200	113	54	8	61	503	491	136
ASV_27	783	30	85	17	865	29	27	3578	23	1769	1425	928	1179	1001	5579	1340	2233	4356	865	196	534	198	196	828	640	356	721	206	340	102	164	2208	219	33	1370	2050	32	481	235	209	952	580	241	125	95	720	63	685	119	264	302	251	985	79	36	605	386	66	257	841	159	23	231	59	40	4	15	13	0	851	198	54	265	278	125	191	99	1	46	182	277	7	9	10	43	1	1	0	16	682	130	70	6	588	61	133	4	77	3	44	166	21	322	3	21	131	477	28	85	348	521	111	44	104	78	505	17	703	142	115	3
